Iso,Code
AD,100000202
AE,100000322
AF,100000301
AG,100000503
AI,100000402
AL,100000201
AM,100000358
AO,100000402
AQ,100000733
AR,100000602
AS,100000798
AT,100000203
AU,100000701
AW,100000358
AX,100000223
AZ,100000359
BA,100000252
BB,100000506
BD,100000305
BE,100000206
BF,100000409
BG,100000209
BH,100000304
BI,100000410
BJ,100000406
BL,100000797
BM,100000406
BN,100000309
BO,100000604
BQ,100000232
BR,100000605
BS,100000505
BT,100000306
BV,100000223
BW,100000408
BY,100000256
BZ,100000507
CA,100000509
CC,100000223
CD,100000998
CF,100000257
CG,100000257
CH,100000241
CI,100000404
CK,100000223
CL,100000606
CM,100000411
CN,100000606
CO,100000608
CR,100000404
CU,100000514
CV,100000413
CW,100000514
CX,100000223
CY,100000315
CZ,100000257
DE,100000216
DJ,100000424
DK,100000212
DM,100000515
DO,100000997
DZ,100000401
EC,100000609
EE,100000247
EG,100000419
EH,100000533
ER,100000466
ES,100000239
ET,100000420
FI,100000214
FJ,100000703
FK,100000223
FM,100000311
FO,100000755
FR,100000215
GA,100000421
GB,100000219
GD,100000519
GE,100000360
GF,100000612
GG,100000761
GH,100000423
GI,100000326
GL,100000758
GM,100000422
GN,100000425
GP,100000759
GQ,100000427
GR,100000220
GS,100000360
GT,100000523
GU,100000760
GW,100000427
GY,100000612
HK,110000005
HM,100000223
HN,100000525
HR,100000250
HT,100000524
HU,100000244
ID,100000331
IE,100000221
IL,100000334
IM,100000223
IN,100000330
IO,100000457
IQ,100000333
IR,100000332
IS,100000223
IT,100000100
JE,100000223
JM,100000518
JO,100000327
JP,100000326
KE,100000428
KG,100000361
KH,100000310
KI,100000708
KM,100000417
KN,100000795
KP,100000319
KR,100000320
KW,100000335
KY,100000223
KZ,100000356
LA,100000336
LB,100000337
LC,100000532
LI,100000225
LK,100000239
LR,100000430
LS,100000429
LT,100000249
LU,100000226
LV,100000248
LY,100000431
MA,100000436
MC,100000234
MD,100000254
ME,100001001
MF,100000797
MG,100000432
MH,100000223
MK,100000253
ML,100000435
MM,100000256
MN,100000341
MO,110000003
MP,100000223
MQ,100000773
MR,100000437
MS,100000777
MT,100000227
MU,100000437
MV,100000339
MW,100000434
MX,100000527
MY,100000767
MZ,100000440
NA,100000441
NC,100000780
NE,100000442
NF,100000223
NG,100000443
NI,100000529
NL,100000232
NO,100000231
NP,100000342
NR,100000715
NU,100000443
NZ,100000719
OM,100000343
PA,100000530
PE,100000615
PF,100000787
PG,100000530
PH,100000323
PK,100000344
PL,100000233
PM,100000797
PN,100000223
PR,100000233
PS,100000536
PT,100000234
PW,100000344
PY,100000614
QA,100000345
RE,100000765
RO,100000235
RS,100001000
RU,100000245
RW,100000446
SA,100000302
SB,100000223
SC,100001000
SD,100000455
SE,100000240
SG,100000346
SH,100000799
SI,100000251
SJ,100000616
SK,100000348
SL,100000451
SM,100000236
SN,100000450
SO,100000453
SR,100000616
SS,100000455
ST,100000448
SV,100000517
SX,100000346
SY,100000348
SZ,100000456
TC,100000223
TD,100000415
TF,100000457
TG,100000458
TH,100000349
TJ,100000362
TK,100000806
TL,100000805
TM,100000364
TN,100000460
TO,100000730
TR,100000351
TT,100000617
TV,100000731
TW,100000998
TZ,100000457
UA,100000243
UG,100000461
UM,100000223
US,100000536
UY,100000618
UZ,100000357
VA,100000246
VC,100000797
VE,100000619
VG,100000764
VI,100000764
VN,100000353
VU,100000732
WF,100000815
WS,100000727
YE,100000354
YT,100000774
ZA,100000467
ZM,100000464
ZW,100000465